                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.113,                 4.3329,                 1.7174,                      0,                      0,                      0,                      0,                 2.2308,                 4.1731,                 1.8226,               6.25e-05,               6.25e-05,               6.25e-05
                      1,                 1.8027,                 4.0423,                 1.5357,                      0,                      0,                      0,                      0,                 1.6391,                 4.0189,                 1.4036,             0.00013478,             0.00013478,             0.00013478
                      2,                 1.4613,                 3.8511,                 1.2871,                0.00021,                0.01389,                0.00012,                  2e-05,                 1.3341,                 3.8976,                 1.1923,             0.00020408,             0.00020408,             0.00020408
                      3,                 1.4567,                 3.4476,                 1.2498,                0.00879,                0.40556,                0.00787,                0.00437,                 1.3441,                 3.8393,                 1.1668,             0.00027042,             0.00027042,             0.00027042
                      4,                  1.376,                 3.1059,                 1.1755,                 0.0114,                0.64583,                0.01112,                0.00689,                 1.2716,                  3.712,                 1.1601,             0.00033379,             0.00033379,             0.00033379
                      5,                 1.3872,                 2.5919,                 1.1663,                 0.0104,                0.66389,                0.19621,                0.11414,                 1.3657,                 3.4228,                  1.238,             0.00039419,             0.00039419,             0.00039419
                      6,                 1.4913,                 2.6207,                 1.2177,                 0.8689,                0.24167,                0.34893,                0.20962,                 1.3676,                 2.8934,                 1.2357,             0.00045161,             0.00045161,             0.00045161
                      7,                 1.3783,                 2.2612,                 1.1576,                0.78073,                0.31148,                 0.3752,                 0.2468,                 1.3301,                 2.7072,                 1.1946,             0.00050607,             0.00050607,             0.00050607
                      8,                 1.4116,                 2.2355,                 1.1963,                0.60145,                0.37917,                0.38744,                0.26404,                 1.3698,                 2.5809,                 1.1923,             0.00055756,             0.00055756,             0.00055756
                      9,                 1.4493,                 2.1374,                 1.1987,                0.63688,                0.34567,                0.40862,                0.27061,                 1.3767,                 2.5286,                 1.1683,             0.00060608,             0.00060608,             0.00060608
                     10,                 1.4678,                 2.0734,                 1.2376,                0.71714,                0.26556,                0.43411,                 0.2508,                 1.3621,                 2.6508,                 1.1805,             0.00065163,             0.00065163,             0.00065163
                     11,                 1.2921,                  1.984,                 1.1274,                0.70854,                 0.2093,                0.41158,                0.20104,                 1.4824,                 2.7423,                  1.249,              0.0006942,              0.0006942,              0.0006942
                     12,                 1.3459,                 1.9449,                 1.1561,                 0.6943,                0.37061,                 0.5094,                0.30361,                 1.4042,                 2.4117,                 1.1836,             0.00073381,             0.00073381,             0.00073381
                     13,                 1.3876,                 1.8986,                  1.147,                0.60691,                0.50596,                0.55545,                 0.3534,                 1.3004,                 1.9102,                 1.1336,             0.00077045,             0.00077045,             0.00077045
                     14,                 1.3176,                 1.8206,                 1.1211,                0.60691,                0.50596,                0.55545,                 0.3534,                 1.3004,                 1.9102,                 1.1336,             0.00080412,             0.00080412,             0.00080412
                     15,                 1.3849,                 1.7199,                 1.1343,                0.51672,                0.63843,                0.55995,                0.36205,                 1.3086,                 1.6311,                 1.1351,             0.00083481,             0.00083481,             0.00083481
                     16,                 1.3659,                 1.6377,                 1.1087,                0.45972,                0.66019,                0.56689,                0.35706,                 1.3609,                 1.5269,                  1.142,               0.000854,               0.000854,               0.000854
