                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.33927,                0.23862,                 0.8599,                      1,                0.98944,                0.99032,                0.98387,                0.22383,                0.18074,                0.78492,              4.165e-05,              4.165e-05,              4.165e-05
                      1,                0.33191,                0.25366,                0.84488,                      1,                0.98944,                0.99032,                0.98164,                0.24694,                0.18692,                0.78874,             9.1328e-05,             9.1328e-05,             9.1328e-05
                      2,                0.35736,                0.25883,                0.85008,                      1,                0.98944,                0.99032,                0.97583,                0.27534,                0.20039,                0.79422,             0.00014068,             0.00014068,             0.00014068
                      3,                0.37678,                0.26849,                0.85432,                      1,                0.98143,                0.98696,                0.96978,                0.28685,                0.21064,                0.79826,             0.00018969,             0.00018969,             0.00018969
                      4,                0.42257,                0.28127,                0.84958,                      1,                0.98319,                0.98782,                0.96511,                0.32644,                0.23387,                0.80721,             0.00023838,             0.00023838,             0.00023838
                      5,                0.43349,                0.28422,                0.84184,                      1,                0.98768,                0.98946,                0.96313,                0.32318,                0.22645,                0.80282,             0.00028674,             0.00028674,             0.00028674
                      6,                 0.4086,                0.28034,                0.84895,                      1,                0.98944,                0.99032,                0.96257,                0.32825,                0.22911,                0.81017,             0.00033477,             0.00033477,             0.00033477
                      7,                0.41847,                0.28786,                0.86136,                      1,                0.98592,                0.98857,                0.94717,                0.37148,                0.24207,                0.81828,             0.00038247,             0.00038247,             0.00038247
                      8,                0.45867,                0.30749,                0.86301,                      1,                0.98768,                0.98946,                0.94305,                0.37947,                0.25044,                0.81839,             0.00042983,             0.00042983,             0.00042983
                      9,                0.45036,                0.31541,                0.86681,                      1,                0.98768,                0.98946,                0.94265,                0.38541,                0.25823,                0.82137,             0.00047687,             0.00047687,             0.00047687
                     10,                0.47382,                0.33607,                0.86922,                      1,                0.98768,                0.98946,                0.93349,                0.41079,                0.27557,                0.82375,             0.00052358,             0.00052358,             0.00052358
                     11,                0.46373,                0.32974,                0.86319,                      1,                0.96452,                0.97972,                0.93491,                 0.3774,                0.27377,                0.82532,             0.00056996,             0.00056996,             0.00056996
                     12,                0.49366,                0.35745,                0.89025,                      1,                0.98524,                0.98884,                0.94335,                0.39557,                0.29305,                0.83271,             0.00061601,             0.00061601,             0.00061601
                     13,                0.47615,                0.35667,                0.87466,                      1,                0.96903,                0.98136,                0.93078,                0.40627,                0.28766,                0.83749,             0.00066173,             0.00066173,             0.00066173
                     14,                0.50103,                0.34561,                 0.8648,                0.99075,                0.98389,                0.98415,                0.91813,                0.43289,                0.31455,                 0.8412,             0.00070712,             0.00070712,             0.00070712
                     15,                 0.5362,                0.39639,                0.88299,                      1,                0.98117,                 0.9868,                0.91655,                0.46608,                0.31554,                0.84761,             0.00075218,             0.00075218,             0.00075218
                     16,                 0.5049,                0.35887,                 0.8856,                0.99432,                0.96285,                0.97758,                0.90466,                0.47211,                0.34995,                0.85809,             0.00078902,             0.00078902,             0.00078902
                     17,                0.53566,                 0.3931,                0.89709,                0.99432,                0.96059,                0.97403,                0.89752,                0.49888,                 0.3685,                0.87104,             0.00078902,             0.00078902,             0.00078902
                     18,                0.52569,                0.38604,                0.88427,                0.97964,                0.97513,                0.98183,                0.91172,                0.45131,                0.33545,                0.84842,             0.00078627,             0.00078627,             0.00078627
                     19,                0.53701,                0.42167,                0.92472,                0.98501,                0.97208,                0.98272,                0.91374,                0.44554,                0.35337,                0.84279,             0.00078352,             0.00078352,             0.00078352
                     20,                0.56593,                 0.4538,                0.88747,                0.98524,                  0.965,                0.98019,                0.91359,                0.44202,                0.39719,                0.84287,             0.00078077,             0.00078077,             0.00078077
                     21,                0.51753,                0.42687,                0.89638,                0.98669,                0.97311,                0.98383,                0.91317,                0.46808,                0.39378,                0.85259,             0.00077802,             0.00077802,             0.00077802
                     22,                0.53994,                0.39805,                0.89872,                0.96862,                0.90136,                0.94632,                0.87836,                0.49876,                 0.4419,                0.86051,             0.00077527,             0.00077527,             0.00077527
