                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4355,                 10.808,                  2.298,                      0,                      0,                      0,                      0,                 2.6308,                 7.0538,                 2.6809,              4.165e-05,              4.165e-05,              4.165e-05
                      1,                 2.3773,                  9.907,                 2.2432,                0.18412,                0.05469,                0.05623,                0.01767,                 2.1162,                 32.759,                 2.1783,             9.1328e-05,             9.1328e-05,             9.1328e-05
                      2,                 1.7664,                 3.9394,                 1.6209,                0.35459,                0.38516,                0.40354,                0.24549,                 1.5615,                 10.568,                 1.5368,             0.00014068,             0.00014068,             0.00014068
                      3,                 1.4884,                 2.9883,                 1.4831,                0.57967,                0.52116,                0.57699,                0.36869,                 1.4194,                 6.7074,                 1.4351,             0.00018969,             0.00018969,             0.00018969
                      4,                 1.4568,                  2.295,                 1.3381,                 0.6198,                0.52103,                0.61338,                0.39931,                 1.3567,                 11.532,                 1.3831,             0.00023838,             0.00023838,             0.00023838
                      5,                 1.3891,                 2.0114,                 1.2927,                0.69196,                0.62914,                0.70135,                 0.4863,                 1.2834,                 3.6657,                 1.3237,             0.00028674,             0.00028674,             0.00028674
                      6,                 1.3407,                 1.8178,                 1.2936,                0.79089,                0.55711,                 0.7039,                 0.4881,                 1.2488,                 2.5543,                 1.2839,             0.00033477,             0.00033477,             0.00033477
                      7,                 1.1961,                 1.7216,                  1.236,                0.83004,                0.59268,                0.72931,                0.48561,                 1.2811,                 2.3164,                 1.2954,             0.00038247,             0.00038247,             0.00038247
                      8,                 1.2628,                 1.4817,                 1.2024,                0.69975,                0.68907,                 0.7441,                0.49931,                 1.2717,                 2.2542,                 1.2813,             0.00042983,             0.00042983,             0.00042983
                      9,                 1.1829,                 1.4227,                 1.1971,                0.80806,                0.66893,                0.76057,                 0.5568,                 1.1879,                 1.6152,                 1.2215,             0.00047687,             0.00047687,             0.00047687
                     10,                 1.1959,                 1.3787,                 1.1989,                0.77674,                0.60876,                0.72315,                 0.5125,                 1.2673,                 1.7817,                 1.2697,             0.00052358,             0.00052358,             0.00052358
                     11,                 1.2023,                 1.3312,                 1.2428,                 0.6502,                0.39399,                0.50582,                0.34516,                 1.2566,                 1.8949,                 1.2456,             0.00056996,             0.00056996,             0.00056996
                     12,                 1.1792,                 1.2394,                 1.2146,                0.76238,                0.59088,                0.73083,                0.50922,                 1.2449,                 1.7051,                 1.2567,             0.00061601,             0.00061601,             0.00061601
                     13,                 1.1582,                 1.1184,                  1.172,                0.85149,                0.56954,                0.74114,                0.54164,                 1.1333,                  1.325,                 1.1882,             0.00066173,             0.00066173,             0.00066173
                     14,                 1.1595,                0.99194,                 1.1482,                0.90777,                0.62891,                0.78396,                0.56638,                 1.1764,                 1.1666,                 1.2235,             0.00070712,             0.00070712,             0.00070712
                     15,                  1.157,                 1.0015,                 1.1589,                0.80305,                0.56042,                 0.6796,                0.49978,                 1.1898,                 1.2848,                  1.249,             0.00075218,             0.00075218,             0.00075218
                     16,                 1.1222,                 0.9625,                 1.1599,                0.95423,                0.37673,                0.66518,                 0.4928,                 1.2232,                 1.2663,                 1.2823,             0.00078902,             0.00078902,             0.00078902
                     17,                 1.1693,                0.97445,                  1.205,                0.98036,                0.48859,                0.73691,                0.52615,                 1.2225,                 1.0267,                 1.2509,             0.00078902,             0.00078902,             0.00078902
                     18,                   1.17,                0.94655,                 1.1291,                0.80958,                 0.6309,                0.74197,                0.52295,                 1.2339,                 1.1378,                 1.2649,             0.00078627,             0.00078627,             0.00078627
                     19,                 1.1921,                 1.0093,                 1.2235,                0.53891,                0.44824,                0.50808,                 0.3672,                  1.203,                 1.2604,                 1.2234,             0.00078352,             0.00078352,             0.00078352
