                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8892,                 4.7998,                 1.6702,                      0,                      0,                      0,                      0,                 1.8798,                 12.751,                 1.8571,               3.57e-05,               3.57e-05,               3.57e-05
                      1,                 1.5633,                 3.7587,                  1.437,                0.21481,                0.11225,                0.17258,                0.09504,                 1.7492,                 6.3465,                 1.7123,             7.8281e-05,             7.8281e-05,             7.8281e-05
                      2,                 1.3817,                 2.9748,                  1.332,                0.44444,                0.13333,                0.28888,                0.22296,                 1.5606,                 7.1776,                 1.5929,             0.00012058,             0.00012058,             0.00012058
                      3,                 1.4342,                  2.651,                 1.3536,                0.26291,                 0.2765,                0.20986,                0.12582,                 1.5124,                 23.477,                 1.5316,             0.00016259,             0.00016259,             0.00016259
                      4,                 1.3726,                 2.1753,                 1.2536,                 0.3226,                0.20829,                0.24289,                0.16458,                 1.4489,                 25.351,                 1.5146,             0.00020433,             0.00020433,             0.00020433
                      5,                 1.3355,                 1.8864,                 1.2357,                 0.5754,                  0.451,                0.53022,                0.30563,                 1.4046,                 3.7228,                 1.4176,             0.00024578,             0.00024578,             0.00024578
                      6,                 1.2554,                 1.9737,                 1.2145,                0.45045,                0.21708,                0.29424,                0.14681,                  1.405,                 3.5378,                 1.3632,             0.00028694,             0.00028694,             0.00028694
                      7,                 1.1853,                  1.824,                 1.1995,                0.47671,                0.30385,                0.38394,                 0.2867,                 1.4175,                 3.0726,                 1.4638,             0.00032783,             0.00032783,             0.00032783
                      8,                   1.23,                 1.5316,                 1.1784,                 0.2963,                0.13604,                0.21695,                 0.1622,                 1.3179,                 2.8684,                 1.4496,             0.00036843,             0.00036843,             0.00036843
                      9,                 1.2437,                 1.5511,                 1.2164,                0.21052,                0.16125,                0.15805,                0.13323,                 1.4202,                 4.5692,                 1.5049,             0.00040875,             0.00040875,             0.00040875
                     10,                 1.2409,                 1.4374,                 1.2034,                 0.3545,                0.18091,                0.25169,                0.15576,                  1.444,                 2.7298,                 1.4282,             0.00044878,             0.00044878,             0.00044878
                     11,                 1.1845,                 1.3983,                 1.1558,                0.38272,                 0.2265,                0.29753,                0.19293,                  1.313,                 2.6804,                 1.2917,             0.00048854,             0.00048854,             0.00048854
                     12,                 1.1276,                 1.2395,                 1.1495,                0.37963,                0.22721,                0.31981,                0.25197,                 1.2359,                 2.4182,                 1.2605,             0.00052801,             0.00052801,             0.00052801
                     13,                 1.1399,                  1.257,                 1.1374,                0.35648,                0.16168,                0.26885,                0.19487,                  1.464,                 2.2526,                 1.3763,              0.0005672,              0.0005672,              0.0005672
                     14,                 1.1119,                 1.1198,                  1.132,                 0.5959,                 0.3443,                0.42406,                0.25579,                 1.5324,                 2.0764,                 1.5422,              0.0006061,              0.0006061,              0.0006061
                     15,                    1.2,                  1.174,                 1.1005,                0.33827,                0.28946,                 0.3307,                0.20979,                 1.5901,                 1.9912,                 1.6643,             0.00064472,             0.00064472,             0.00064472
                     16,                 1.1316,                 1.0875,                 1.1359,                 0.4254,                0.29943,                 0.3919,                0.25853,                 1.5688,                 1.7875,                 1.6343,              0.0006763,              0.0006763,              0.0006763
                     17,                 1.1644,                 1.1649,                 1.1905,                0.42593,                0.17236,                0.29845,                0.15332,                 1.6293,                 2.0526,                 1.6599,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.1281,                 1.0482,                 1.1353,                 0.2037,                0.07977,                0.14382,                0.08971,                 1.4524,                 2.0343,                 1.4767,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.1497,                0.99413,                  1.093,                0.45833,                0.31353,                0.36073,                0.23734,                 1.4322,                 2.0909,                 1.4478,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.1294,                 1.0376,                 1.1419,                0.31944,                 0.1802,                0.25032,                0.14036,                  1.383,                 1.8283,                 1.4037,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.0592,                0.88617,                 1.1339,                0.20635,                0.12536,                0.16465,                0.12153,                 1.4334,                 2.4861,                  1.459,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.1012,                0.89335,                 1.1179,                0.19444,                0.06268,                0.12744,                0.07659,                 1.5839,                 2.5143,                 1.5786,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.0112,                0.91087,                 1.1009,                0.31481,                0.11681,                0.21512,                0.12591,                 1.5691,                 2.2924,                 1.6295,             0.00066216,             0.00066216,             0.00066216
                     24,                 1.0439,                0.84049,                 1.1077,                 0.2963,                0.10826,                0.19935,                0.13724,                 1.6024,                 2.0773,                 1.6228,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.0323,                0.86533,                 1.0605,                0.64286,                0.38105,                0.51155,                0.34105,                 1.3899,                 1.5661,                  1.403,             0.00065745,             0.00065745,             0.00065745
                     26,                 1.0019,                0.79163,                 1.0659,                0.80864,                0.50798,                0.67335,                0.48647,                 1.3173,                 1.5073,                 1.3864,             0.00065509,             0.00065509,             0.00065509
                     27,                 1.0329,                0.80524,                 1.1205,                0.91313,                0.58989,                0.76864,                0.56163,                 1.3863,                 1.3261,                 1.5223,             0.00065274,             0.00065274,             0.00065274
                     28,                 1.0976,                0.79803,                 1.1467,                0.72963,                0.38618,                0.56805,                0.39197,                 1.2967,                 1.2476,                 1.4358,             0.00065038,             0.00065038,             0.00065038
