                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4729,                 11.689,                 2.3062,                      0,                      0,                      0,                      0,                 2.6928,                 9.9862,                 2.6453,               3.57e-05,               3.57e-05,               3.57e-05
                      1,                 2.4514,                 10.012,                 2.3206,                      0,                      0,                      0,                      0,                 2.1735,                  15.53,                 2.2512,             5.2622e-05,             5.2622e-05,             5.2622e-05
                      2,                 1.8709,                 5.1373,                  1.726,                      0,                      0,                      0,                      0,                  1.915,                 23.944,                 1.9007,             4.1269e-05,             4.1269e-05,             4.1269e-05
