                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4729,                 11.689,                 2.3062,                      0,                      0,                      0,                      0,                 2.6928,                 9.9862,                 2.6453,               3.57e-05,               3.57e-05,               3.57e-05
                      1,                 2.4318,                 9.7851,                 2.2943,                      0,                      0,                      0,                      0,                 2.0823,                 27.295,                 2.1124,             7.8281e-05,             7.8281e-05,             7.8281e-05
                      2,                 1.7255,                 4.4757,                 1.5464,                0.41871,                0.18746,                0.18815,                0.11232,                 1.7078,                 17.704,                 1.6863,             0.00012058,             0.00012058,             0.00012058
                      3,                 1.5039,                 3.0763,                 1.3784,                0.39588,                0.34644,                0.37917,                0.22868,                 1.5822,                 6.5782,                 1.5333,             0.00016259,             0.00016259,             0.00016259
                      4,                 1.4383,                 2.4904,                 1.3106,                0.34787,                0.44341,                0.48651,                0.30395,                 1.4753,                 10.395,                 1.5695,             0.00020433,             0.00020433,             0.00020433
                      5,                 1.4278,                 2.2063,                 1.2989,                0.43257,                0.54494,                0.51695,                0.31905,                 1.4419,                  5.029,                 1.4519,             0.00024578,             0.00024578,             0.00024578
                      6,                 1.3314,                  2.148,                 1.2853,                0.43331,                 0.2715,                0.36611,                0.24286,                 1.4412,                 4.2186,                 1.4417,             0.00028694,             0.00028694,             0.00028694
                      7,                 1.2474,                 2.0996,                 1.2249,                0.79021,                0.53484,                0.62216,                0.42536,                 1.3927,                 3.4114,                 1.3185,             0.00032783,             0.00032783,             0.00032783
                      8,                 1.2865,                 1.7236,                 1.2002,                0.52147,                 0.4536,                0.52103,                0.34951,                 1.3838,                 2.8904,                 1.2973,             0.00036843,             0.00036843,             0.00036843
                      9,                 1.3043,                 1.8001,                 1.2367,                0.50282,                0.50826,                0.53172,                0.33887,                 1.4031,                 2.6421,                 1.3279,             0.00040875,             0.00040875,             0.00040875
                     10,                 1.2433,                  1.663,                 1.1914,                0.40542,                0.32279,                0.35624,                0.24019,                 1.3892,                 2.7128,                 1.3081,             0.00044878,             0.00044878,             0.00044878
                     11,                 1.2354,                 1.4055,                 1.2063,                0.44245,                0.48504,                0.46114,                0.31158,                 1.3555,                 2.6577,                 1.3592,             0.00048854,             0.00048854,             0.00048854
                     12,                 1.1727,                  1.421,                 1.1683,                 0.5971,                0.43134,                0.51175,                0.33318,                 1.3965,                 2.2304,                 1.4235,             0.00052801,             0.00052801,             0.00052801
                     13,                 1.1811,                 1.3681,                 1.1746,                0.62531,                0.52835,                0.60029,                0.42284,                 1.4326,                 1.8594,                 1.4679,              0.0005672,              0.0005672,              0.0005672
                     14,                 1.1744,                 1.2372,                 1.1591,                0.48388,                0.25722,                0.32471,                0.20734,                  1.476,                 2.3158,                 1.4407,              0.0006061,              0.0006061,              0.0006061
                     15,                  1.186,                 1.1584,                  1.093,                0.53834,                 0.3603,                0.46917,                0.31981,                 1.3865,                 1.6774,                 1.4399,             0.00064472,             0.00064472,             0.00064472
                     16,                 1.1424,                 1.0984,                 1.1306,                0.82751,                0.64288,                0.71681,                 0.4966,                 1.3593,                 1.7531,                 1.5096,              0.0006763,              0.0006763,              0.0006763
                     17,                 1.2029,                 1.2094,                 1.2228,                0.49722,                0.40613,                0.46944,                0.30138,                 1.4334,                   1.86,                 1.4844,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.1125,                 1.0308,                 1.1557,                0.56638,                0.32051,                0.35605,                0.24953,                 1.4054,                 2.0915,                 1.4191,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.1745,                 1.0195,                 1.1191,                0.52778,                0.35057,                 0.4536,                0.31288,                 1.4118,                 1.7048,                 1.4237,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.1398,                0.98217,                 1.1578,                0.45933,                0.37322,                0.43771,                0.32108,                  1.349,                 1.7233,                 1.3863,             0.00066923,             0.00066923,             0.00066923
                     21,                  1.047,                0.90344,                 1.1253,                 0.3213,                0.35399,                0.37689,                0.24447,                 1.4225,                   1.82,                 1.4256,             0.00066688,             0.00066688,             0.00066688
