                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99861,                0.76696,                 1.0897,                0.95568,                0.78512,                0.88131,                0.69262,                0.94638,                0.74898,                 1.0483,             0.00063625,             0.00063625,             0.00063625
                     35,                0.93312,                0.72494,                   1.05,                0.99069,                0.88344,                0.93838,                0.74321,                0.90624,                0.62522,                 1.0218,             0.00063389,             0.00063389,             0.00063389
                     36,                 0.9615,                0.70667,                 1.0719,                0.98641,                0.82822,                0.91136,                0.73857,                0.89122,                0.62086,                 1.0172,             0.00063153,             0.00063153,             0.00063153
                     37,                 1.0021,                0.71313,                 1.0533,                0.98503,                0.87326,                0.93378,                0.75099,                0.89131,                0.59178,                 1.0234,             0.00062918,             0.00062918,             0.00062918
                     38,                0.95468,                0.68645,                 1.0689,                0.98515,                0.80277,                0.89849,                0.71415,                0.94469,                0.63001,                  1.033,             0.00062682,             0.00062682,             0.00062682
                     39,                 1.0253,                0.75489,                 1.0797,                0.97814,                0.85992,                0.92631,                0.73649,                0.92905,                0.64539,                  1.042,             0.00062446,             0.00062446,             0.00062446
                     40,                0.98117,                0.74587,                  1.068,                0.99456,                0.81913,                0.90763,                 0.7395,                0.90059,                0.57628,                 1.0295,             0.00062211,             0.00062211,             0.00062211
                     41,                0.94868,                0.68424,                 1.0711,                0.99249,                0.82834,                0.91221,                0.73583,                0.91114,                0.57659,                 1.0443,             0.00061975,             0.00061975,             0.00061975
                     42,                0.94712,                0.66349,                 1.0496,                 0.9947,                0.82107,                0.90634,                0.75236,                0.86554,                0.54599,                 1.0195,              0.0006174,              0.0006174,              0.0006174
                     43,                0.94247,                0.69585,                 1.0416,                 0.9856,                0.89302,                 0.9435,                0.76548,                0.90005,                0.56621,                 1.0377,             0.00061504,             0.00061504,             0.00061504
                     44,                0.92887,                0.66645,                 1.0517,                0.99033,                0.86097,                0.92783,                0.76139,                0.87184,                0.53835,                 1.0204,             0.00061268,             0.00061268,             0.00061268
                     45,                0.93282,                0.64715,                 1.0485,                0.98596,                0.85202,                0.92311,                0.75159,                0.87238,                0.55175,                  1.008,             0.00061033,             0.00061033,             0.00061033
                     46,                0.91123,                0.66413,                 1.0424,                0.99221,                0.88401,                0.93971,                0.78105,                 0.8431,                0.53182,                 1.0071,             0.00060797,             0.00060797,             0.00060797
